Superbowl,Date,Time,Time,Network,Viewers
XLIII,"February 1, 2009",6:32 pm[48],10:16 pm[48],NBC,"98,732,000"
XLIV,"February 7, 2010",6:31 pm[49],9:50 pm[49],CBS,"106,476,000"
XLV,"February 6, 2011",6:34 pm[51],10:13 pm[51],Fox,"111,041,000"
XLVI,"February 5, 2012",6:31 pm[53],9:58 pm[53],NBC,"111,346,000"
XLVII,"February 3, 2013",6:30 pm[55][A],10:17 pm[55][A],CBS,"108,693,000"
XLVIII,"February 2, 2014",6:33 pm[58],9:55 pm[58],Fox,"112,191,000"
XLIX,"February 1, 2015",6:31 pm[59],10:10 pm[59],NBC,"114,442,000"
50,"February 7, 2016",6:39 pm[62],10:22 pm[62],CBS,"111,864,000"
LI,"February 5, 2017",6:37 pm[64],10:35 pm[64],Fox,"111,319,000"
LII,"February 4, 2018",6:31 pm[66],10:25 pm[66],NBC,"103,471,000"
LIII,"February 3, 2019",6:32 pm[67],10:05 pm[67],CBS,"98,477,000"
LIV,"February 2, 2020",6:41 pm[69],10:11 pm[69],Fox,"100,446,000"