,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,p-value for trend*,
Overall total,2.51,2.59,2.31,2.01,2.10,1.97,2.17,2.16,2.18,2.13,2.32,2.09,2.45,2.29,0.56,
Competition,4.63,4.88,4.45,4.05,4.19,4.10,4.26,4.31,4.22,4.40,4.74,4.28,4.88,4.61,0.61,
Practice,1.69,1.75,1.52,1.26,1.32,1.16,1.40,1.34,1.39,1.28,1.39,1.22,1.47,1.38,0.09,
Boys’ football total,4.36,4.45,4.18,3.50,3.81,3.50,3.78,3.87,3.74,3.73,4.08,3.56,4.33,3.85,0.37,
Competition,12.09,13.50,12.80,11.26,12.95,12.30,12.41,12.53,11.38,11.97,12.68,11.55,14.13,12.10,0.94,
Practice,2.54,2.68,2.47,1.92,2.06,1.74,2.16,2.08,2.15,2.06,2.18,1.89,2.14,2.00,0.05,
Boys’ soccer total,2.43,2.27,1.75,1.62,1.75,1.56,1.64,1.52,1.62,1.60,1.87,1.47,1.94,1.83,0.13,
Competition,4.22,4.31,3.63,3.43,3.39,3.08,3.47,3.28,3.40,3.43,3.95,3.25,3.92,3.86,0.54,
Practice,1.58,1.45,0.96,0.87,1.04,0.90,0.90,0.78,0.82,0.78,0.91,0.67,1.04,0.92,0.02,
Girls’ soccer total,2.36,2.51,2.35,2.07,2.00,1.93,2.42,2.29,2.47,2.64,2.59,2.46,2.82,2.72,0.02,
Competition,5.21,5.43,5.15,4.59,4.67,4.13,5.68,5.54,5.72,6.11,5.93,5.91,5.83,5.70,0.02,
Practice,1.10,1.31,1.16,1.00,0.85,0.93,1.09,0.92,1.04,1.09,1.09,0.85,1.48,1.34,0.48,
Girls’ volleyball total,1.64,1.37,1.22,0.89,0.99,0.96,1.00,0.89,0.99,1.11,1.19,1.13,1.54,1.34,0.98,
Competition,1.92,1.40,1.43,0.90,1.00,1.18,1.27,1.08,1.15,1.39,1.52,1.67,2.18,1.58,0.27,
Practice,1.48,1.36,1.12,0.88,0.99,0.85,0.85,0.78,0.91,0.97,1.02,0.86,1.20,1.23,0.34,
Boys’ basketball total,1.89,1.75,1.39,1.35,1.45,1.34,1.40,1.47,1.45,1.08,1.48,1.54,1.54,1.61,0.40,
Competition,2.98,2.87,2.23,2.32,2.72,2.30,2.60,2.44,2.40,1.98,2.84,2.65,2.74,3.09,0.70,
Practice,1.46,1.28,1.04,0.95,0.92,0.91,0.91,1.04,1.02,0.68,0.90,1.04,1.01,0.98,0.06,
Girls’ basketball total,2.01,2.09,1.61,1.54,1.58,1.73,1.57,1.83,1.88,1.65,2.14,1.87,2.15,1.95,0.23,
Competition,3.60,3.60,3.30,3.13,2.84,3.59,3.03,3.13,3.66,3.27,4.17,3.63,4.12,3.63,0.12,
Practice,1.37,1.44,0.90,0.87,1.02,0.92,0.98,1.24,1.08,0.94,1.24,1.03,1.26,1.21,0.74,
Boys’ wrestling total,2.50,2.51,2.27,2.17,1.98,2.01,2.50,2.33,2.48,2.12,2.23,2.02,2.65,2.52,0.79,
Competition,3.93,3.80,3.70,3.35,3.09,3.32,3.56,3.54,3.95,3.76,3.43,3.77,4.30,4.46,0.10,
Practice,2.04,2.06,1.76,1.75,1.56,1.55,2.10,1.88,1.95,1.61,1.83,1.40,2.04,1.84,0.54,
Boys’ baseball total,1.19,1.25,0.93,0.78,0.82,0.81,0.83,0.88,1.01,0.94,0.84,0.74,0.95,1.03,0.25,
Competition,1.77,2.01,1.37,1.32,1.27,1.49,1.14,1.30,1.68,1.67,1.35,1.23,1.28,1.66,0.32,
Practice,0.87,0.82,0.68,0.48,0.57,0.46,0.65,0.66,0.63,0.55,0.56,0.44,0.77,0.68,0.31,
Girls’ softball total,1.13,1.11,1.29,1.04,1.12,0.94,1.46,1.15,0.99,1.00,1.30,1.34,1.34,1.43,0.13,
Competition,1.78,1.96,1.86,1.62,1.66,1.45,2.04,1.96,1.09,1.67,2.10,1.55,1.94,2.19,0.63,
Practice,0.79,0.65,0.98,0.72,0.85,0.69,1.16,0.73,0.93,0.65,0.87,1.21,1.01,1.01,0.09,