State,Baseball,Basketball,Football,Soccer
Alabama,14100,13648,32366,6916
Alaska,717,1920,1564,929
Arizona,7509,8219,16498,7848
Arkansas,5489,5144,10255,3038
California,44347,48111,91305,54996
Colorado,7825,11723,15593,8241
Connecticut,5663,5349,9017,7030
Delaware,1411,1604,2843,2062
Dist. of Columbia,753,1164,1456,910
Florida,20763,21652,40361,19923
Georgia,12526,12593,31904,11944
Hawaii,1669,1791,4310,1706
Idaho,2614,3831,6482,2191
Illinois,21598,23674,38366,20669
Indiana,10449,10767,20344,9216
Iowa,10615,10964,15984,6699
Kansas,6493,8788,12586,4313
Kentucky,7143,6938,13033,6603
Louisiana,8454,7848,19629,4927
Maine,3033,3423,3207,3992
Maryland,5215,5341,12146,6943
Massachusetts,12356,12719,18019,14551
Michigan,17211,21119,33868,14425
Minnesota,13680,13840,23185,9561
Mississippi,7855,8620,22440,4012
Missouri,14617,13752,19951,8794
Montana,NA,3282,3476,841
Nebraska,2500,7091,8579,2847
Nevada,3132,3469,6678,2661
New Hampshire,2318,2456,3120,3006
New Jersey,14803,14939,22515,19640
New Mexico,3070,3902,6061,2451
New York,18587,19772,27652,22891
North Carolina,10816,11152,26969,12417
North Dakota,1601,2914,2903,662
Ohio,22498,22787,39794,17255
Oklahoma,8361,9346,13132,3845
Oregon,5490,7620,11140,6595
Pennsylvania,21024,21570,25515,19845
Rhode Island,1486,1855,2690,2151
South Carolina,6955,6740,17789,6218
South Dakota,NA,3460,3133,697
Tennessee,8722,8854,20920,8266
Texas,49964,60384,165641,44865
Utah,3572,3792,8596,4013
Vermont,692,966,993,1101
Virginia,8915,9174,22526,10400
Washington,9319,11440,18348,10754
West Virginia,2750,3052,5551,2041
Wisconsin,12060,14453,23154,10244
Wyoming,NA,1757,2426,932