State,Basketball,Football,Soccer,Softball,Volleyball,,,,,,,,,,
Alabama,8559,NA,5434,9752,10310,,,,,,,,,,
Alaska,1513,52,960,767,1907,,,,,,,,,,
Arizona,6322,79,6489,6690,8159,,,,,,,,,,
Arkansas,4000,7,2461,4392,2923,,,,,,,,,,
California,35902,593,49342,32233,45997,,,,,,,,,,
Colorado,9045,141,6829,4164,11672,,,,,,,,,,
Connecticut,3718,42,5661,3897,4968,,,,,,,,,,
Delaware,1058,8,1526,1022,1526,,,,,,,,,,
Dist. of Columbia,666,NA,700,349,676,,,,,,,,,,
Florida,13388,89,17595,12666,20047,,,,,,,,,,
Georgia,8477,56,10430,7823,8704,,,,,,,,,,
Hawaii,1286,24,1544,1263,1926,,,,,,,,,,
Idaho,3346,18,2271,2350,3835,,,,,,,,,,
Illinois,16119,NA,15918,14198,21708,,,,,,,,,,
Indiana,7721,46,7420,7939,9602,,,,,,,,,,
Iowa,7285,35,5818,7538,10718,,,,,,,,,,
Kansas,6530,19,3524,5160,8278,,,,,,,,,,
Kentucky,5273,42,5847,5626,6264,,,,,,,,,,
Louisiana,5273,NA,4195,6295,5068,,,,,,,,,,
Maine,2519,6,3536,2529,1141,,,,,,,,,,
Maryland,4163,24,5840,4653,5226,,,,,,,,,,
Massachusetts,9372,79,12960,9109,10218,,,,,,,,,,
Michigan,15383,94,13276,13290,19072,,,,,,,,,,
Minnesota,12073,NA,8371,13235,16398,,,,,,,,,,
Mississippi,8420,NA,2730,4940,2810,,,,,,,,,,
Missouri,9732,NA,8185,9313,10446,,,,,,,,,,
Montana,2822,6,830,1089,3349,,,,,,,,,,
Nebraska,5793,18,2523,2665,6595,,,,,,,,,,
Nevada,2849,NA,2567,2626,3248,,,,,,,,,,
New Hampshire,1816,22,2605,1842,1568,,,,,,,,,,
New Jersey,10051,208,14279,11881,10143,,,,,,,,,,
New Mexico,3478,76,2196,2476,3904,,,,,,,,,,
New York,15500,98,21081,15747,15333,,,,,,,,,,
North Carolina,7649,NA,10206,7491,9442,,,,,,,,,,
North Dakota,2152,15,650,1091,3189,,,,,,,,,,
Ohio,14878,45,16578,16994,16754,,,,,,,,,,
Oklahoma,7079,2,3414,6499,3152,,,,,,,,,,
Oregon,5824,59,5397,4395,7087,,,,,,,,,,
Pennsylvania,20940,NA,18830,19380,10620,,,,,,,,,,
Rhode Island,1199,23,1795,1176,1352,,,,,,,,,,
South Carolina,4517,NA,5023,4875,4974,,,,,,,,,,
South Dakota,2612,8,714,NA,3411,,,,,,,,,,
Tennessee,5978,23,7113,6138,6809,,,,,,,,,,
Texas,43264,210,34591,35481,50501,,,,,,,,,,
Utah,3098,19,3608,2371,3556,,,,,,,,,,
Vermont,682,5,968,592,111,,,,,,,,,,
Virginia,7278,44,8994,7378,8097,,,,,,,,,,
Washington,8736,65,9935,7159,11062,,,,,,,,,,
West Virginia,2094,NA,1826,2184,2468,,,,,,,,,,
Wisconsin,10027,NA,8645,9315,14600,,,,,,,,,,
Wyoming,1608,4,875,NA,1884,,,,,,,,,,