State,Basketball,Football,Soccer,Softball,Volleyball,
Alabama,413,NA,172,380,392,
Alaska,113,10,37,28,106,
Arizona,259,47,190,240,262,
Arkansas,274,7,103,249,141,
California,1464,270,1376,1442,1483,
Colorado,333,NA,233,252,323,
Connecticut,181,NA,164,179,166,
Delaware,56,6,48,46,54,
Dist. of Columbia,41,NA,31,21,36,
Florida,703,NA,583,604,726,
Georgia,441,37,400,407,357,
Hawaii,66,16,57,56,71,
Idaho,154,16,85,108,151,
Illinois,666,NA,404,599,694,
Indiana,404,33,276,375,403,
Iowa,352,26,153,339,356,
Kansas,347,NA,99,245,343,
Kentucky,268,NA,194,256,264,
Louisiana,389,NA,191,355,236,
Maine,135,6,130,123,46,
Maryland,191,13,179,182,186,
Massachusetts,360,NA,347,344,301,
Michigan,693,NA,476,628,713,
Minnesota,462,NA,252,420,460,
Mississippi,244,NA,135,232,153,
Missouri,575,NA,248,528,459,
Montana,176,4,33,72,179,
Nebraska,299,NA,79,147,300,
Nevada,103,NA,69,91,107,
New Hampshire,87,NA,81,84,58,
New Jersey,411,NA,373,402,299,
New Mexico,153,98,66,100,158,
New York,712,NA,675,680,620,
North Carolina,412,NA,380,397,415,
North Dakota,157,8,20,80,154,
Ohio,791,NA,549,763,787,
Oklahoma,471,2,130,405,126,
Oregon,286,NA,161,209,279,
Pennsylvania,698,NA,538,646,590,
Rhode Island,50,NA,50,48,44,
South Carolina,214,NA,160,205,210,
South Dakota,169,7,30,NA,163,
Tennessee,392,NA,310,367,354,
Texas,1519,1228,759,1238,1353,
Utah,137,NA,106,107,138,
Vermont,35,4,34,29,5,
Virginia,315,33,289,307,311,
Washington,373,44,284,311,377,
West Virginia,124,NA,77,117,116,
Wisconsin,471,NA,264,434,476,
Wyoming,71,3,27,NA,71,